T1,T2,tau,alpha,k_fwd,current_vanilla_iv_same_tenor,dupire_forward_price,dupire_forward_iv,heston_forward_price,heston_forward_iv
0.5,1.0,0.5,0.8,-0.23814355131420972,0.2547259311324443,21.667967343862525,0.23222663120660342,21.907962191167776,0.2570617489841952
0.5,1.0,0.5,0.85,-0.17751892949777492,0.234959570064406,17.159344777146767,0.21968062920063353,17.387041485710398,0.2359302820737164
0.5,1.0,0.5,0.9,-0.12036051565782628,0.2153034383200824,12.897184642669554,0.20525843024870322,13.081620191008616,0.21492735825777104
0.5,1.0,0.5,0.95,-0.06629329438755058,0.19682591111448505,9.045024404379319,0.19151033395923828,9.105716236908288,0.1940193638038024
0.5,1.0,0.5,1.0,-0.015,0.18027273805904762,5.836311489365632,0.18073951029954116,5.6403802908666005,0.17367746576914395
0.5,1.0,0.5,1.05,0.03379016416943204,0.1661573224325133,3.449563478103262,0.17369381770593806,2.998592746495632,0.1572761042945679
0.5,1.0,0.5,1.1,0.08031017980432494,0.15482439654068214,1.8843078558997528,0.1699868772087788,1.447345392970096,0.15082239069634545
0.5,1.0,0.5,1.15,0.12476194237515863,0.14649551836578004,0.9741153834978672,0.16908193804756205,0.7158571178799865,0.153389925487058
0.5,1.0,0.5,1.2,0.1673215567939546,0.1413019489242714,0.4912185219466217,0.1703449218975951,0.3743300867828364,0.1596665348905209
1.0,2.0,1.0,0.8,-0.25314355131420974,0.23929159139054174,23.17000353918158,0.19651245239655107,23.905547677982405,0.23813856591323623
1.0,2.0,1.0,0.85,-0.19251892949777494,0.22415762887227567,18.896810332959323,0.18939331629788403,19.675736024301134,0.22288953629149205
1.0,2.0,1.0,0.9,-0.13536051565782628,0.20831042312106235,14.880585946736193,0.1809616586255955,15.67247360725723,0.20817220716246876
1.0,2.0,1.0,0.95,-0.08129329438755058,0.1929368440409806,11.241056368258167,0.1729217937075978,11.968888806744607,0.19397784602424012
1.0,2.0,1.0,1.0,-0.03,0.17887994686722625,8.120296316469537,0.16650874472076782,8.649647284558789,0.18023314036832888
1.0,2.0,1.0,1.05,0.018790164169432043,0.16673381110646687,5.639075563007426,0.16267095435963314,5.843028419433311,0.1677857601639669
1.0,2.0,1.0,1.1,0.06531017980432494,0.15691063728727306,3.79116089994225,0.16089858488483227,3.663934714240693,0.15753033646797676
1.0,2.0,1.0,1.15,0.10976194237515863,0.14968884734549853,2.4697712309022792,0.16004346138628844,2.157756760028574,0.15050831726210084
1.0,2.0,1.0,1.2,0.1523215567939546,0.14524796886856775,1.5817902276191687,0.16036806860115527,1.2393755674475484,0.1473376840200606
2.0,3.0,1.0,0.8,-0.25314355131420974,0.23929159139054174,22.921927101764147,0.17889862833690556,23.85636545704905,0.2356446346655568
2.0,3.0,1.0,0.85,-0.19251892949777494,0.22415762887227567,18.522406884785717,0.17101776477709169,19.613890942256976,0.22038511483554935
2.0,3.0,1.0,0.9,-0.13536051565782628,0.20831042312106235,14.369379619191463,0.16216085502088556,15.597664890705179,0.20567368884492787
2.0,3.0,1.0,0.95,-0.08129329438755058,0.1929368440409806,10.583617887074022,0.15341789223948038,11.877012479359426,0.19134378908654992
2.0,3.0,1.0,1.0,-0.03,0.17887994686722625,7.3511205574550464,0.14651135009581912,8.552336631917743,0.1777119507133194
2.0,3.0,1.0,1.05,0.018790164169432043,0.16673381110646687,4.8959223590129595,0.1440227225708745,5.74258576803138,0.16526694306832823
2.0,3.0,1.0,1.1,0.06531017980432494,0.15691063728727306,3.201806439062144,0.14518768312564084,3.578580711698861,0.15526397424330768
2.0,3.0,1.0,1.15,0.10976194237515863,0.14968884734549853,2.041225940175194,0.1468671417381483,2.0974885606674927,0.14863115869090077
2.0,3.0,1.0,1.2,0.1523215567939546,0.14524796886856775,1.269487328856733,0.1485293711065344,1.1943699395969054,0.14553715252078142
